CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Hertha BSC,OK,Hertha BSC,2. Bundesliga,25.15,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44
Holstein Kiel,OK,Holstein Kiel,2. Bundesliga,32.03,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269
Houston Dynamo FC,OK,Houston Dynamo FC,Major League Soccer,33.95,https://www.transfermarkt.com/houston-dynamo-fc/startseite/verein/9168
Inter Miami CF,OK,Inter Miami CF,Major League Soccer,96.75,https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261
KV Kortrijk,OK,KV Kortrijk,Jupiler Pro League,23.75,https://www.transfermarkt.com/kv-kortrijk/startseite/verein/601
Kasimpasa,OK,Kasimpasa,Süper Lig,36.3,https://www.transfermarkt.com/kasimpasa/startseite/verein/10484
Konyaspor,OK,Konyaspor,Süper Lig,38.3,https://www.transfermarkt.com/konyaspor/startseite/verein/2293
Lech Poznań,OK,Lech Poznań,PKO BP Ekstraklasa,54.5,https://www.transfermarkt.com/lech-posen/startseite/verein/238
Leicester City,OK,Leicester City,League One,71.78,https://www.transfermarkt.com/leicester-city/startseite/verein/1003
Lincoln City,OK,Lincoln City,Championship,21.3,https://www.transfermarkt.com/lincoln-city/startseite/verein/1198
Los Angeles FC,OK,Los Angeles FC,Major League Soccer,58.63,https://www.transfermarkt.com/los-angeles-fc/startseite/verein/51828
Los Angeles Galaxy,OK,Los Angeles Galaxy,Major League Soccer,46.93,https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061
Malmö FF,OK,Malmö FF,Allsvenskan,31.75,https://www.transfermarkt.com/malmo-ff/startseite/verein/496
Millonarios FC,OK,Millonarios FC,Liga Dimayor Finalización,14.93,https://www.transfermarkt.com/millonarios-fc/startseite/verein/2350
Modena FC,OK,Modena FC,Serie B,30.3,https://www.transfermarkt.com/modena-fc-2018/startseite/verein/1385
Molde FK,OK,Molde FK,Eliteserien,45.9,https://www.transfermarkt.com/molde-fk/startseite/verein/687
Montpellier HSC,OK,Montpellier HSC,Ligue 2,29.85,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969
NEOM SC,OK,NEOM SC,Saudi Pro League,83.38,https://www.transfermarkt.com/al-suqoor/startseite/verein/34911
Nashville SC,OK,Nashville SC,Major League Soccer,47.18,https://www.transfermarkt.com/nashville-sc/startseite/verein/63966
Nea Salamina Famagusta,OK,Nea Salamina Famagusta,Cyprus League,5.78,https://www.transfermarkt.com/nea-salamina-famagusta/startseite/verein/18945
Neftchi Fergana,OK,Neftchi Fergana,O'zbekiston Superligasi,16.35,https://www.transfermarkt.com/neftchi-fergana/startseite/verein/13306
New England Revolution,OK,New England Revolution,Major League Soccer,49.48,https://www.transfermarkt.com/new-england-revolution/startseite/verein/626
New York City FC,OK,New York City FC,Major League Soccer,74.5,https://www.transfermarkt.com/new-york-city-fc/startseite/verein/40058
Norwich City,OK,Norwich City,Championship,103.38,https://www.transfermarkt.com/norwich-city/startseite/verein/1123
Olympiacos Piraeus,OK,Olympiacos Piraeus,Super League 1,190.25,https://www.transfermarkt.com/olympiakos-piraus/startseite/verein/683
Omonia Nicosia,OK,Omonia Nicosia,Cyprus League,21.45,https://www.transfermarkt.com/omonia-nikosia/startseite/verein/829
Orlando City SC,OK,Orlando City SC,Major League Soccer,59.1,https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604
PAOK Thessaloniki,OK,PAOK Thessaloniki,Super League 1,118.35,https://www.transfermarkt.com/paok-thessaloniki/startseite/verein/1091
PSV Eindhoven,OK,PSV Eindhoven,Eredivisie,284.45,https://www.transfermarkt.com/psv-eindhoven/startseite/verein/383
Palermo FC,OK,Palermo FC,Serie B,51.78,https://www.transfermarkt.com/palermo-fc/startseite/verein/458
Panathinaikos,OK,Panathinaikos,Super League 1,132.95,https://www.transfermarkt.com/panathinaikos-athen/startseite/verein/265
Piast Gliwice,OK,Piast Gliwice,PKO BP Ekstraklasa,9.75,https://www.transfermarkt.com/piast-gliwice/startseite/verein/6112
Pisa Sporting Club,OK,Pisa Sporting Club,Serie B,63.45,https://www.transfermarkt.com/ac-pisa-1909/startseite/verein/4172
RCD Mallorca,OK,RCD Mallorca,LaLiga2,50.2,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237
RSC Anderlecht,OK,RSC Anderlecht,Jupiler Pro League,93.8,https://www.transfermarkt.com/rsc-anderlecht/startseite/verein/58
Rangers FC,OK,Rangers FC,Scottish Premiership,148.65,https://www.transfermarkt.com/glasgow-rangers/startseite/verein/124
Real Oviedo,OK,Real Oviedo,LaLiga2,35.45,https://www.transfermarkt.com/real-oviedo/startseite/verein/2497
Real Salt Lake City,OK,Real Salt Lake City,Major League Soccer,54.65,https://www.transfermarkt.com/real-salt-lake-city/startseite/verein/6643
Red Star Belgrade,OK,Red Star Belgrade,Super liga Srbije,100.6,https://www.transfermarkt.com/roter-stern-belgrad/startseite/verein/159
