NAME,LEAGUE,STATUS,MATCH_METHOD,MATCHED_NAME,MATCHED_CLUB,TM_MARKET_VALUE_M_EUR,AGE,POSITION,POSITION_RAW,CONTRACT_EXPIRY,PROFILE_URL
Alessio Zerbin,Serie A,OK,league,Alessio Zerbin,Frosinone Calcio,2.0,27,W,Right Midfield,2029,https://www.transfermarkt.com/alessio-zerbin/profil/spieler/433584
Alex Amorim,Serie A,NEEDS_REVIEW,,Amorim,Genoa CFC,8.0,,,,,
Alex Berenguer,La Liga,OK,league,Álex Berenguer,Athletic Bilbao,4.0,31,W,Left Winger,2027,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
Alex Iwobi,Premier League,OK,league,Alex Iwobi,Fulham FC,20.0,30,DM,Defensive Midfield,2028,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
Alex Sancris,La Liga,OK,unique_name,Álex Sancris,CD Leganés,1.5,29,W,Right Winger,2027,https://www.transfermarkt.com/alex-sancris/profil/spieler/560705
Alexander Prass,Bundesliga,OK,league,Alexander Prass,TSG 1899 Hoffenheim,9.0,25,W,Left Midfield,2028,https://www.transfermarkt.com/alexander-prass/profil/spieler/434116
Alexander Sørloth,La Liga,OK,league,Alexander Sørloth,Atlético de Madrid,18.0,30,ST,Centre-Forward,2028,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407
Alexis Claude-Maurice,Bundesliga,OK,league,Alexis Claude-Maurice,FC Augsburg,15.0,28,AM,Attacking Midfield,2027,https://www.transfermarkt.com/alexis-claude-maurice/profil/spieler/384593
Alexis Mac Allister,Premier League,OK,league,Alexis Mac Allister,Liverpool FC,70.0,27,CM,Central Midfield,2028,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
Alexis Sánchez,La Liga,NEEDS_REVIEW,,Alexis Sánchez,Without Club,50.0,,,,,
Alexis Vossah,Ligue 1,OK,league,Alexis Vossah,FC Toulouse,15.0,18,CM,Central Midfield,2030,https://www.transfermarkt.com/alexis-vossah/profil/spieler/1200427
Alexsandro Ribeiro,Ligue 1,NEEDS_REVIEW,,Alexsandro,LOSC Lille,15.0,,,,,
Alfon González,La Liga,OK,league,Alfon González,Sevilla FC,3.0,27,W,Left Winger,2028,https://www.transfermarkt.com/alfon-gonzalez/profil/spieler/357628
Alfonso Pedraza,La Liga,OK,unique_name,Alfonso Pedraza,SS Lazio,2.5,30,FB,Left-Back,2029,https://www.transfermarkt.com/alfonso-pedraza/profil/spieler/356197
Ali Abdi,Ligue 1,OK,league,Ali Abdi,OGC Nice,2.0,32,FB,Left-Back,2027,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474
Ali Youssif,Ligue 1,OK,unique_name,Ali Youssif,Al-Ittihad SC,2.5,25,CB,Centre-Back,,https://www.transfermarkt.com/ali-youssif/profil/spieler/944724
Alidu Seidu,Ligue 1,OK,league,Alidu Seidu,Stade Rennais FC,6.0,26,CB,Centre-Back,2029,https://www.transfermarkt.com/alidu-seidu/profil/spieler/798404
Alieu Fadera,Serie A,OK,league,Alieu Fadera,Cagliari Calcio,4.5,24,W,Left Winger,2027,https://www.transfermarkt.com/alieu-fadera/profil/spieler/749552
Alimami Gory,Ligue 1,OK,unique_name,Alimami Gory,Abha Club,1.5,30,W,Left Winger,,https://www.transfermarkt.com/alimami-gory/profil/spieler/435492
Alisson Santos,Serie A,OK,league,Alisson Santos,SSC Napoli,28.0,23,W,Left Winger,2030,https://www.transfermarkt.com/alisson-santos/profil/spieler/830365
Aljoscha Kemlein,Bundesliga,OK,league,Aljoscha Kemlein,1.FC Union Berlin,12.0,22,DM,Defensive Midfield,2029,https://www.transfermarkt.com/aljoscha-kemlein/profil/spieler/692737
Allan Nyom,La Liga,OK,unique_name,Allan Nyom,Without Club,100.0,38,FB,Right-Back,,https://www.transfermarkt.com/allan-nyom/profil/spieler/111508
Alpha Touré,Ligue 1,OK,league,Alpha Touré,FC Metz,5.0,20,DM,Defensive Midfield,2028,https://www.transfermarkt.com/alpha-toure/profil/spieler/1178489
Alphonso Davies,Bundesliga,OK,league,Alphonso Davies,Bayern Munich,40.0,25,FB,Left-Back,2030,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
Amad Diallo,Premier League,OK,league,Amad Diallo,Manchester United,45.0,24,W,Right Winger,2030,https://www.transfermarkt.com/amad-diallo/profil/spieler/536835
Amin Sarr,Serie A,OK,league,Amin Sarr,Hellas Verona,2.4,25,ST,Centre-Forward,2029,https://www.transfermarkt.com/amin-sarr/profil/spieler/748382
Amine Adli,Premier League,OK,league,Amine Adli,AFC Bournemouth,20.0,26,W,Left Winger,2030,https://www.transfermarkt.com/amine-adli/profil/spieler/532776
Amine Gouiri,Ligue 1,OK,league,Amine Gouiri,Olympique Marseille,28.0,26,ST,Centre-Forward,2029,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659
Amine Sbaï,Ligue 1,OK,league,Amine Sbaï,Angers SCO,4.0,25,W,Left Winger,2027,https://www.transfermarkt.com/amine-sbai/profil/spieler/851220
Amir Murillo,Ligue 1,OK,unique_name,Amir Murillo,Beşiktaş JK,7.0,30,FB,Right-Back,2028,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482
Amir Rrahmani,Serie A,OK,league,Amir Rrahmani,SSC Napoli,10.0,32,CB,Centre-Back,2027,https://www.transfermarkt.com/amir-rrahmani/profil/spieler/257732
Amos Pieper,Bundesliga,OK,league,Amos Pieper,SV Werder Bremen,4.0,28,CB,Centre-Back,,https://www.transfermarkt.com/amos-pieper/profil/spieler/334221
Ander Barrenetxea,La Liga,OK,league,Ander Barrenetxea,Real Sociedad,18.0,24,W,Left Winger,2030,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369
Ander Guevara,La Liga,OK,league,Ander Guevara,Deportivo Alavés,2.5,29,CM,Central Midfield,2027,https://www.transfermarkt.com/ander-guevara/profil/spieler/465967
Andoni Gorosabel,La Liga,OK,league,Andoni Gorosabel,RCD Espanyol Barcelona,3.0,30,FB,Right-Back,2027,https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255
Andrea Pinamonti,Serie A,OK,league,Andrea Pinamonti,SS Lazio,15.0,27,ST,Centre-Forward,2031,https://www.transfermarkt.com/andrea-pinamonti/profil/spieler/315865
Andreas Hanche-Olsen,Bundesliga,OK,unique_name,Andreas Hanche-Olsen,Chicago Fire FC,3.5,29,CB,Centre-Back,2031,https://www.transfermarkt.com/andreas-hanche-olsen/profil/spieler/370683
Andrei Ratiu,La Liga,OK,league,Andrei Rațiu,Rayo Vallecano,18.0,28,FB,Right-Back,2030,https://www.transfermarkt.com/andrei-ratiu/profil/spieler/527966
Andrej Ilic,Bundesliga,OK,league,Andrej Ilic,1.FC Union Berlin,9.0,26,ST,Centre-Forward,,https://www.transfermarkt.com/andrej-ilic/profil/spieler/583699
Andrej Kramaric,Bundesliga,OK,league,Andrej Kramaric,TSG 1899 Hoffenheim,2.5,35,ST,Second Striker,2028,https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580
